Class,Proportion [%]
Nayar,0.04
Naeder,0.04
Metropoulos,0.04
Melchers,0.04
Mantegazza,0.04
Leonard,0.04
Abraham,0.04
Gauselmann,0.04
Gantner,0.04
Fraisse,0.04
Erni,0.04
Diniz,0.04
Bekker,0.04
Al Futtaim,0.04
Acton,0.04
Winfrey,0.04
Unger,0.04
Trump,0.04
Godin,0.04
Tiku,0.04
Sutton,0.04
Olivo Lopez,0.04
Murphy,0.04
Michel,0.04
Mahagitsiri,0.04
Leitner,0.04
Kelley,0.04
Kalyani,0.04
Jay-Z,0.04
Hill,0.04
Trott,0.04
Peery,0.04
Otsuka,0.04
O'Brien,0.04
Motsepe,0.04
McMahon,0.04
Lazari,0.04
Laukien,0.04
Kovalchuk,0.04
Koc,0.04
Kei,0.04
Le Duff,0.04
Hardy Knox,0.04
Frolov,0.04
Friedland,0.04
Fluxa Rossello,0.04
Flatt,0.04
Firodia,0.04
Edwards,0.04
Dubin,0.04
Cowin,0.04
Bokarev,0.04
Baro,0.04
Karapetyan,0.04
Laufer,0.04
Koplowitz,0.04
Kamenshchik,0.04
Hou,0.04
Horejsi,0.04
Geminder,0.04
Chico Pardo,0.04
Chandler,0.04
Cen,0.04
Baumann-Blocher,0.04
Bauer,0.04
Rothbaum,0.04
Ashkenazy,0.04
Zhu ,0.04
Witzoe,0.04
Utemuratov,0.04
Tull,0.04
Spiegel,0.04
Skorobogatko,0.04
Singhal,0.04
Schoeller,0.04
Sardana,0.04
Rothschild,0.04
Baszucki,0.04
Bhatia,0.04
Wadia,0.04
Stevens,0.04
Newell,0.04
Moll Filho,0.04
Liebmann,0.04
Jaruphnit,0.04
Irsay,0.04
Fielmann,0.04
De'Longhi,0.04
Yarbrough,0.04
Chaiyawan,0.04
Blickle,0.04
Vigil Gonzalez,0.04
Tornqvist,0.04
Starak,0.04
Spielberg,0.04
Shani,0.04
Saul,0.04
Perlmutter,0.04
Lutke,0.04
Kurzius,0.04
Dart,0.04
Schulze,0.04
Schultz,0.04
Sall,0.04
Paulmann,0.04
Och,0.04
Nagamori,0.04
Lomtadze,0.04
LeFrak,0.04
Kavanaugh,0.04
Ji,0.04
Gabay,0.04
Caltagirone,0.04
Barnard,0.04
Udvar-Hazy,0.04
Shigeta,0.04
Rees-Jones,0.04
Perot,0.04
Ingram,0.04
Grendys,0.04
Gangwal,0.04
Feinberg,0.04
Edens,0.04
Diller,0.04
Berkley,0.04
Pham,0.04
Meyer,0.04
Kulibaeva,0.04
Kulibaev,0.04
Kozitsyn,0.04
Katz,0.04
Ilitch,0.04
Feliciano,0.04
Escotet,0.04
Eghbali,0.04
Koon,0.04
Shelkov,0.04
Mansueto,0.04
Lurie,0.04
Lodha,0.04
Grogg,0.04
Blue,0.04
Birmingham Perot,0.04
Bancel,0.04
You,0.04
Yin,0.04
Velez,0.04
Drahi,0.04
Kalanick,0.04
Henry,0.04
DeLuca,0.04
Chestnut,0.04
Stokes,0.04
Sterling,0.04
Spuhler,0.04
Moreno,0.04
Moreira Salles Junior,0.04
Kesaev,0.04
Catsimatidis,0.04
Aven,0.04
Burda,0.04
Bellon,0.04
Babis,0.04
Thiel,0.04
Tahir,0.04
Susanto,0.04
Skoll,0.04
Moritz,0.04
Lefkofsky,0.04
Ladreit de Lacharriere,0.04
Kam,0.04
Caporella,0.04
Talpins,0.04
Storonsky,0.04
Shwed,0.04
Ruffin,0.04
Riney,0.04
Ponce Lerou,0.04
Nitori,0.04
Milchan,0.04
Legorreta,0.04
Gilgan,0.04
Tshuva,0.04
Frey,0.04
Faria,0.04
Arnold,0.04
Altrad,0.04
Zegar,0.04
Wild,0.04
von Holtzbrinck,0.04
Tewari,0.04
Simon,0.04
Ricketts,0.04
Parsons,0.04
Gandel,0.04
Viola,0.04
Trotsenko,0.04
Seràgnoli,0.04
Schusterman,0.04
Schulenberg,0.04
Schlosberg,0.04
Rubenstein,0.04
Pillai,0.04
Penske,0.04
Mistakidis,0.04
Hintze,0.04
Thoma,0.04
Galitsky,0.04
Fox,0.04
Filo,0.04
Ergen,0.04
Denegri,0.04
Del Valle Ruiz,0.04
Cucinelli,0.04
Burkle,0.04
Bharat Ram,0.04
Beckmann Legoretta,0.04
Yasuda,0.04
Gopalakrishnan,0.04
Gassner,0.04
Fan ,0.04
Droege,0.04
D'Aniello,0.04
Crippa,0.04
Billi,0.04
Basilico,0.04
Stroll,0.04
Speyer,0.04
Perkins,0.04
Mikitani,0.04
Noda,0.04
Miki,0.04
Mandel,0.04
Kushner,0.04
Kellogg,0.04
Howard,0.04
Gilinski Bacal,0.04
Gaglardi,0.04
Davila de Santo Domingo,0.04
Coulter,0.04
Boguslavsky,0.04
Obrecht,0.04
Middleton,0.04
Klinsky,0.04
Hostetter,0.04
Graff,0.04
Branson,0.04
Balkrishna,0.04
Ang,0.04
Altushkin,0.04
Ahunai,0.04
Ackman,0.04
Zampillo,0.04
Leng,0.04
van der Leegte,0.04
Siebel,0.04
Shleifer,0.04
Sehgal,0.04
Sartorius-Herbst,0.04
Ruffini,0.04
Rossmann,0.04
Rennert,0.04
Prasarttong-Osoth,0.04
Louis-Dreyfus,0.04
Loeb,0.04
Xiao,0.04
